City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Puerto Narino,CO,2022-01-30 22:27:03,-3.7703,-70.3831,84.15,62,85,2.37
283,Mahebourg,MU,2022-01-30 22:27:03,-20.4081,57.7,79.09,94,75,11.5
284,Sarakhs,IR,2022-01-30 22:27:04,36.5449,61.1577,35.74,80,0,2.3
285,Geraldton,AU,2022-01-30 22:27:04,-28.7667,114.6,70.21,88,75,9.22
286,Dakar,SN,2022-01-30 22:27:04,14.6937,-17.4441,70.68,88,100,18.41
287,Bayir,TR,2022-01-30 22:27:05,37.2687,28.2167,41.52,87,96,2.06
288,Gavle,SE,2022-01-30 22:27:05,60.6745,17.1417,29.5,88,17,4.0
289,Zharkent,KZ,2022-01-30 22:27:06,44.1628,80.0,22.93,71,4,6.64
290,Zhezkazgan,KZ,2022-01-30 22:27:06,47.8043,67.7144,13.75,97,100,4.61
291,Makakilo City,US,2022-01-30 22:27:07,21.3469,-158.0858,79.12,55,0,13.8
292,Ulladulla,AU,2022-01-30 22:27:07,-35.35,150.4667,79.09,72,6,2.73
