City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Coolum Beach,AU,-26.5333,153.1,88.34,73,44,8.68,scattered clouds
207,Preobrazheniye,RU,42.9019,133.9064,18.57,44,4,8.68,clear sky
208,Lebu,CL,-37.6167,-73.65,56.97,75,0,20.33,clear sky
209,Belgorod,RU,50.61,36.58,30.83,93,100,13.42,mist
210,Ucluelet,CA,48.9329,-125.5528,42.1,86,80,5.99,broken clouds
211,Bonthe,SL,7.5264,-12.505,74.95,92,1,0.78,clear sky
212,Loukhi,RU,66.0764,33.0381,-5.26,100,100,3.02,overcast clouds
213,Palu,ID,-0.8917,119.8707,89.55,54,95,3.38,overcast clouds
214,Redmond,US,47.674,-122.1215,45.91,85,100,1.01,overcast clouds
215,Santa Cruz,BO,-17.8,-63.1667,76.46,83,2,5.75,clear sky
216,Tasiilaq,GL,65.6145,-37.6368,-0.92,61,100,7.16,overcast clouds
217,Maceio,BR,-9.6658,-35.7353,78.24,94,40,3.44,scattered clouds
218,Ambon,ID,-3.6954,128.1814,91.54,52,40,16.11,scattered clouds
219,Bure,ET,10.7,37.0667,54.57,68,13,3.0,few clouds
220,Bundibugyo,UG,0.7414,30.0417,74.68,42,100,3.09,overcast clouds
221,Ola,RU,59.5833,151.2833,9.41,79,95,15.12,overcast clouds
222,Hibbing,US,47.4272,-92.9377,18.9,47,100,3.44,overcast clouds
223,Chunskiy,RU,56.0815,99.6342,2.37,96,94,1.19,overcast clouds
224,Bacalar,MX,18.6667,-88.3833,64.74,87,10,4.45,clear sky
225,Lambarene,GA,-0.7001,10.2406,74.82,94,100,2.71,overcast clouds
226,Mananjary,MG,-21.2167,48.3333,72.5,85,48,5.99,scattered clouds
227,Fortuna,US,40.5982,-124.1573,49.98,90,100,0.0,overcast clouds
228,Londa,IN,15.4691,74.5191,70.93,43,0,3.76,clear sky
229,Anloga,GH,5.7947,0.8973,78.44,65,100,2.04,overcast clouds
230,Burriana,ES,39.889,-0.085,57.83,42,1,4.81,clear sky
231,Ribeira Grande,PT,38.5167,-28.7,59.45,73,54,20.22,broken clouds
232,Ojinaga,MX,29.5667,-104.4167,64.58,42,40,12.66,scattered clouds
233,Ossora,RU,59.2353,163.0719,24.15,91,100,28.72,light snow
234,Inzer,RU,54.2167,57.5556,20.41,97,100,3.78,overcast clouds
235,Kysyl-Syr,RU,63.8986,122.7617,-19.32,97,61,4.5,broken clouds
236,Ypsonas,CY,34.6884,32.9574,47.37,93,75,4.61,broken clouds
237,Kaya,BF,13.0917,-1.0844,67.86,15,17,10.71,few clouds
238,Daru,PG,-9.0763,143.2092,83.64,69,93,6.29,overcast clouds
239,Roermond,NL,51.1833,5.9833,42.28,86,75,11.99,light rain
240,Callaway,US,30.153,-85.5699,57.99,64,0,4.0,clear sky
241,Sisimiut,GL,66.9395,-53.6735,1.96,72,86,11.92,overcast clouds
242,Lanzhou,CN,36.0564,103.7922,20.48,50,100,1.81,overcast clouds
243,Shimoda,JP,34.6667,138.95,48.56,74,99,8.75,overcast clouds
244,Arlit,NE,18.7369,7.3853,57.51,17,4,9.91,clear sky
245,Vagur,FO,61.4732,-6.8119,36.16,56,100,37.4,overcast clouds
246,Tsiroanomandidy,MG,-18.7667,46.0333,66.38,92,1,2.13,clear sky
247,Hithadhoo,MV,-0.6,73.0833,82.13,71,6,11.65,clear sky
248,Chagoda,RU,59.164,35.3285,21.2,95,100,7.76,light snow
249,Caravelas,BR,-17.7125,-39.2481,78.51,87,41,10.83,scattered clouds
250,Oktyabrskoye,RU,43.0645,44.7417,21.34,100,5,6.71,clear sky
251,Upernavik,GL,72.7868,-56.1549,-7.04,97,100,3.85,overcast clouds
252,Cidreira,BR,-30.1811,-50.2056,73.35,72,0,18.28,clear sky
253,Nanma,CN,36.1817,118.1583,35.13,23,0,14.45,clear sky
254,Turukhansk,RU,65.8167,87.9833,-1.61,92,99,11.25,overcast clouds
255,Londiani,KE,-0.165,35.5909,51.73,92,47,3.44,scattered clouds
256,Campbell River,CA,50.0163,-125.2446,39.92,93,40,6.91,scattered clouds
257,Lubbock,US,33.6001,-101.8338,56.14,44,100,1.99,overcast clouds
258,Longyearbyen,SJ,78.2186,15.6401,10.24,61,40,18.41,scattered clouds
259,Falkenberg,SE,56.9055,12.4912,29.25,64,100,2.91,overcast clouds
260,Sayyan,YE,15.1718,44.3244,48.02,40,44,0.96,scattered clouds
261,Avera,US,33.194,-82.5271,49.51,77,0,7.58,clear sky
262,Camana,PE,-16.6228,-72.7111,70.39,79,73,5.12,broken clouds
263,Pangai,TO,-19.8,-174.35,81.43,73,100,8.14,light rain
264,Nelson Bay,AU,-32.7167,152.15,84.96,69,57,3.0,broken clouds
265,Majitha,IN,31.7583,74.9544,46.17,100,40,0.0,fog
266,Amuntai,ID,-2.4177,115.2494,87.12,60,100,1.7,overcast clouds
267,Lagoa,PT,39.05,-27.9833,58.21,74,25,25.05,scattered clouds
268,Ikryanoye,RU,46.0932,47.7308,21.18,80,18,6.2,few clouds
269,Waitati,NZ,-45.75,170.5667,70.11,67,30,8.59,scattered clouds
270,Torbay,CA,47.6666,-52.7314,35.58,82,100,25.32,overcast clouds
271,Chumikan,RU,54.7183,135.315,3.38,77,100,19.73,overcast clouds
272,Huarmey,PE,-10.0681,-78.1522,70.36,88,100,6.87,overcast clouds
273,Neringa,LT,55.3719,21.0647,35.69,77,100,31.29,overcast clouds
274,Lashio,MM,22.9333,97.75,62.11,54,1,0.65,clear sky
275,Coihaique,CL,-45.5752,-72.0662,49.95,62,75,6.91,broken clouds
276,Cayenne,GF,4.9333,-52.3333,79.09,87,40,4.0,scattered clouds
277,Port Blair,IN,11.6667,92.75,77.04,69,40,4.61,haze
278,Walvis Bay,NA,-22.9575,14.5053,67.15,88,98,8.05,overcast clouds
279,Valparaiso,CL,-33.0393,-71.6273,62.24,82,0,5.75,clear sky
280,Charlestown,AU,-32.95,151.6667,84.69,68,49,5.01,scattered clouds
281,Serebryansk,KZ,49.6925,83.2892,8.15,85,27,5.03,scattered clouds
282,Mikhaylovka,RU,50.06,43.2379,34.79,98,100,19.37,light snow
283,Bisira,PA,8.5196,-81.7115,54.52,94,36,7.74,scattered clouds
284,Kapit,MY,2.0167,112.9333,86.04,65,98,2.06,overcast clouds
285,Sortino,IT,37.1566,15.026,43.34,81,0,3.69,clear sky
286,Hovd,MN,48.0056,91.6419,-11.13,83,30,0.72,scattered clouds
287,Sorland,NO,67.667,12.6934,34.12,63,99,14.88,light snow
288,Tuy Hoa,VN,13.0833,109.3,78.31,78,58,8.41,broken clouds
289,Maragogi,BR,-9.0122,-35.2225,78.31,80,43,7.31,scattered clouds
290,Korla,CN,41.7597,86.1469,24.87,53,99,3.85,overcast clouds
291,Yabelo,ET,4.8833,38.0833,57.49,34,95,5.19,overcast clouds
292,Te Anau,NZ,-45.4167,167.7167,73.53,61,97,5.73,light rain
293,Kavieng,PG,-2.5744,150.7967,83.46,70,99,2.21,overcast clouds
294,Roald,NO,62.5833,6.1333,32.09,80,100,11.5,overcast clouds
295,Sydney Mines,CA,46.2367,-60.2177,24.6,77,75,7.0,broken clouds
296,Namibe,AO,-15.1961,12.1522,69.84,78,92,5.35,overcast clouds
297,Jumla,NP,29.2747,82.1838,43.18,31,0,1.32,clear sky
298,Faanui,PF,-16.4833,-151.75,80.98,69,0,8.52,clear sky
299,Victoria Point,AU,-27.5833,153.3,95.07,65,28,3.0,scattered clouds
300,Canon City,US,38.441,-105.2424,43.14,34,0,8.05,clear sky
301,Beringovskiy,RU,63.05,179.3167,-4.5,95,100,9.89,overcast clouds
302,Saint Anthony,US,45.0205,-93.218,15.93,81,0,3.44,clear sky
303,Careiro Da Varzea,BR,-3.2003,-59.8119,75.83,98,100,2.71,overcast clouds
304,Rawson,AR,-43.3002,-65.1023,59.18,31,24,3.22,few clouds
305,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.35,93,90,7.45,light rain
306,Canutama,BR,-6.5339,-64.3831,72.77,98,100,2.3,overcast clouds
307,Stepnogorsk,KZ,52.3544,71.8869,12.78,90,97,14.79,overcast clouds
308,Geraldton,AU,-28.7667,114.6,86.13,57,0,16.11,clear sky
309,Half Moon Bay,US,37.4636,-122.4286,54.45,86,75,5.75,broken clouds
310,Tiarei,PF,-17.5333,-149.3333,84.0,75,81,12.75,light rain
311,Deer Lake,CA,49.1667,-57.4316,24.66,74,100,19.57,overcast clouds
312,Leh,IN,34.1667,77.5833,10.35,95,100,3.11,overcast clouds
313,San Quintin,MX,30.4833,-115.95,58.75,72,0,12.93,clear sky
314,Kudahuvadhoo,MV,2.6708,72.8944,82.08,74,7,13.33,clear sky
315,Laguna,US,38.421,-121.4238,55.31,75,0,0.0,clear sky
316,Ancud,CL,-41.8697,-73.8203,48.42,77,25,4.56,scattered clouds
