City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
490,Namatanai,PG,84.9,light rain,-3.6667,152.4333,Seagulls Inn Namatani
493,Bodden Town,KY,70.93,scattered clouds,19.2833,-81.25,Will T Place
495,Pak Phanang,TH,88.03,broken clouds,8.3511,100.202,Green Park Inn Hotel
499,Singaraja,ID,86.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
500,Pimentel,PE,70.0,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
504,Puerto Cabezas,NI,72.88,scattered clouds,14.0351,-83.3888,Cabaña Caribe
508,Hervey Bay,AU,90.03,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
516,San Vicente,AR,66.22,few clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
519,Vangaindrano,MG,71.44,clear sky,-23.35,47.6,Hotel Fanilo
522,Clarence Town,AU,84.81,overcast clouds,-32.5833,151.7833,River Downs Cottage
523,Sabang,ID,81.37,broken clouds,5.8933,95.3214,Hotel Citra
524,San Andres,CO,78.82,clear sky,12.5847,-81.7006,Hotel Arena Blanca
525,Porto De Moz,BR,72.59,moderate rain,-1.7483,-52.2383,Dormitório labelle
528,Tautira,PF,84.0,light rain,-17.7333,-149.15,Pension Oaoa
530,Miri,MY,84.34,light rain,4.4148,114.0089,"Mega Hotel, Miri"
535,Dunedin,NZ,68.02,few clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
538,Loikaw,MM,69.03,few clouds,19.6742,97.2094,Myat Nan Taw Hotel
541,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
543,Burnie,AU,73.94,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
545,Kissidougou,GN,69.19,clear sky,9.1848,-10.0999,Hôtel Mantis
547,Warrnambool,AU,83.8,clear sky,-38.3833,142.4833,Lady Bay Resort
549,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
551,Puerto Ayacucho,VE,79.09,few clouds,5.6639,-67.6236,Posada Turistica Manapiare
552,Grand Gaube,MU,81.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
553,Dakar,SN,70.68,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
555,Mackay,AU,91.69,scattered clouds,-21.15,149.2,International Lodge Motel
557,Trincomalee,LK,80.85,broken clouds,8.5711,81.2335,Welcombe Hotel
561,Port Lincoln,AU,74.01,few clouds,-34.7333,135.8667,Port Lincoln Hotel
564,Lima,PE,69.91,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
565,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
566,Pedasi,PA,73.06,few clouds,7.5333,-80.0333,Selina Pedasi
568,Bom Jesus,BR,70.56,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
569,Wanaka,NZ,77.97,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
570,Santa Fe,AR,76.98,clear sky,-31.6333,-60.7,Conquistador Hotel
573,Ho Chi Minh City,VN,86.02,few clouds,10.75,106.6667,Windsor Plaza Hotel
574,Santa Maria,BR,70.9,clear sky,-29.6842,-53.8069,Hotel Morotin
575,Manado,ID,88.57,scattered clouds,1.487,124.8455,Aryaduta Hotel
578,Nieuw Amsterdam,SR,78.03,overcast clouds,5.8833,-55.0833,Hotel Stardust
579,Kindu,CD,70.12,overcast clouds,-2.95,25.95,Résidence Okanda
580,Bintulu,MY,84.61,few clouds,3.1667,113.0333,900 Boutique INN
584,Grand-Santi,GF,70.41,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
585,Sibolga,ID,79.75,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
587,Kabanjahe,ID,70.56,broken clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
589,Rodrigues Alves,BR,70.93,overcast clouds,-7.738,-72.6509,Pousada Aconchego
594,Pisco,PE,69.85,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
596,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
602,Tingo Maria,PE,68.94,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
607,Sur,OM,69.8,clear sky,22.5667,59.5289,Sur Plaza Hotel
609,Chiredzi,ZW,66.02,scattered clouds,-21.05,31.6667,Clevers Hotel Chiredzi
612,Pilar,BR,76.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
615,Talara,PE,71.42,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
617,Vila Velha,BR,78.94,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
622,Ballina,AU,87.98,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
626,Rantepao,ID,83.59,broken clouds,-2.9701,119.8978,Hotel Luta Resort
632,Batemans Bay,AU,87.98,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
633,Puerto Escondido,MX,79.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
635,Jacqueville,CI,78.71,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
640,Mandera,KE,71.76,overcast clouds,3.9366,41.867,Mwalimu Guest mandera
641,Porto Novo,BJ,73.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
644,Serra,BR,78.46,few clouds,-20.1286,-40.3078,Interior do Estado do Espirito Santo
646,Mae Sai,TH,72.45,clear sky,20.4335,99.8762,Piyaporn Hill Paradise Hotel
653,Itarema,BR,78.3,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
654,Honiara,SB,85.33,broken clouds,-9.4333,159.95,Heritage Park Hotel
659,Eldorado,BR,72.28,clear sky,-23.7869,-54.2836,Villa Verde Hotel
671,Port Macquarie,AU,83.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
673,Robore,BO,73.15,few clouds,-18.3333,-59.75,Hotel Las Lajas
675,Mmathubudukwane,BW,68.86,overcast clouds,-24.6,26.4333,Gill Sleepover Guesthouse
679,Chabahar,IR,71.08,clear sky,25.2919,60.643,هتل گدروشیا
680,Pachora,IN,68.72,clear sky,20.6667,75.35,Vishal Avinash patil
683,Porto Seguro,BR,77.52,few clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
691,Mayuge,UG,67.98,light rain,0.4597,33.4803,Kagolo Bar and Lodge
696,Bairiki,KI,82.4,light intensity drizzle,1.3292,172.9752,Tarawa Boutique Hotel
701,Mahibadhoo,MV,81.84,clear sky,3.7833,72.9667,Omadhoo Inn
702,Sabancuy,MX,67.35,clear sky,18.9667,-91.1833,pulpo
703,Maroantsetra,MG,76.14,scattered clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
704,Urucara,BR,74.28,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
705,Amahai,ID,88.74,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
708,Taree,AU,93.06,scattered clouds,-31.9,152.4667,All Seasons Country Lodge Taree
